favorites_count,id,retweet_count
2089,835246439529840640,73
26055,835172783151792128,5728
22318,835152434251116546,2992
10756,834931633769889797,1626
21290,834786237630337024,5456
13601,834574053763584002,2516
0,834477809192075265,10572
9590,834458053273591808,1672
20494,834209720923721728,4722
15769,834167344700198914,3642
10014,834089966724603904,2120
13030,834086379323871233,2194
13389,833863086058651648,2397
18018,833826103416520705,3751
0,833732339549220864,221
20761,833722901757046785,3205
14808,833479644947025920,2043
20144,833124694597443584,4813
13229,832998151111966721,2194
0,832769181346996225,39
16837,832757312314028032,3605
11849,832682457690300417,2899
2914,832645525019123713,530
15815,832636094638288896,2771
11943,832397543355072512,2214
17165,832369877331693569,3172
11336,832273440279240704,2333
0,832215909146226688,6185
0,832215726631055365,9288
62,832088576586297345,2
0,832040443403784192,9593
17834,832032802820481025,4641
23943,831939777352105988,6114
334,831926988323639298,34
27575,831911600680497154,6484
10417,831670449226514432,1809
7121,831650051525054464,1921
8967,831552930092285952,2309
9268,831322785565769729,1546
6535,831315979191906304,1124
11752,831309418084069378,2462
11898,831262627380748289,2040
7963,830956169170665475,1495
66781,830583320585068544,16723
0,830173239259324417,5672
9783,830097400375152640,2930
0,829878982036299777,5004
12226,829861396166877184,1938
31722,829501995190984704,10572
10468,829449946868879360,2016
24386,829141528400556032,7333
53161,829011960981237760,16290
0,828801551087042563,3421
25590,828770345708580865,5857
36511,828708714936930305,11167
9498,828650029636317184,1345
6349,828409743546925057,1164
7681,828408677031882754,1290
12584,828381636999917570,2214
7379,828376505180889089,1070
12579,828372645993398273,2935
2195,828361771580813312,172
11745,828046555563323392,2877
10362,828011680017821696,2149
20109,827933404142436356,5248
15522,827653905312006145,3023
7451,827600520311402496,945
15864,827324948884643840,3048
10585,827199976799354881,2220
21609,826958653328592898,5004
36407,826848821049180160,10171
0,826615380357632002,3992
5131,826598799820865537,252
10072,826598365270007810,2340
18435,826476773533745153,4198
13327,826240494070030336,2616
4892,826204788643753985,926
15682,826115272272650244,3119
10514,825876512159186944,1871
12772,825829644528148480,2493
57024,825535076884762624,17599
18336,825147591692263424,4558
0,825120256414846976,1257
6321,825026590719483904,1257
0,824796380199809024,5509
14945,824775126675836928,3525
10556,824663926340194305,1781
11877,824325613288833024,10558
15105,824297048279236611,3872
4846,824025158776213504,603
10661,823939628516474880,2717
0,823719002937630720,11232
14033,823699002998870016,2532
13074,823581115634085888,2629
703,823333489516937216,25
15789,823322678127919110,4037
0,823269594223824897,9921
17390,822975315408461824,3464
132129,822872901745569793,43415
13315,822859134160621569,2285
0,822647212903690241,6429
14884,822610361945911296,2969
18251,822489057087389700,6429
28147,822462944365645825,14368
35107,822244816520155136,9921
0,822163064745328640,4788
11369,821886076407029760,2317
0,821813639212650496,3372
8449,821765923262631936,1666
8065,821522889702862852,1767
0,821421320206483457,5616
11821,821407182352777218,4350
257,821153421864615936,10
8683,821149554670182400,1991
9653,821107785811234820,2145
12731,821044531881721856,2298
0,820837357901512704,6769
31721,820749716845686786,9944
12277,820690176645140481,3248
0,820494788566847489,567
0,820446719150292993,2582
3365,820314633777061888,567
19935,820078625395449857,6325
0,820013781606658049,1181
5360,819952236453363712,1181
12988,819924195358416896,4914
13451,819711362133872643,3131
9701,819588359383371776,2003
7261,819347104292290561,1214
2280,819238181065359361,410
23212,819227688460238848,6769
0,819015337530290176,37113
0,819015331746349057,19086
45615,819006400881917954,19086
87522,819004803107983360,37113
0,818646164899774465,21155
22563,818627210458333184,7590
9914,818614493328580609,2582
0,818588835076603904,6190
10982,818536468981415936,2474
0,818307523543449600,8152
11101,818259473185828864,2284
12361,818145370475810820,2591
4891,817908911860748288,810
52036,817827839487737858,27277
10830,817777686764523521,2714
11856,817536400337801217,2986
0,817502432452313088,3416
34089,817423860136083457,14827
5642,817415592588222464,955
0,817181837579653120,8527
8836,817171292965273600,2040
12322,817120970343411712,2619
8669,817056546584727552,1657
0,816829038950027264,4753
10085,816816676327063552,2060
9874,816697700272001025,2212
30670,816450570814898180,8152
8672,816336735214911488,1958
9013,816091915477250048,2165
0,816062466425819140,1029
0,816014286006976512,5312
4985,815990720817401858,1029
22609,815966073409433600,8527
0,815745968457060357,4168
9925,815736392542261248,2281
8304,815639385530101762,1668
10454,815390420867969024,3837
7731,814986499976527872,1288
11377,814638523311648768,2723
0,814578408554463233,5901
8719,814530161257443328,1881
29024,814153002265309185,8767
0,813944609378369540,3221
9389,813910438903693312,1884
36768,813812741911748608,14130
8396,813800681631023104,1782
18826,813217897535406080,7370
9329,813202720496779264,1834
20081,813187593374461952,4407
9365,813172488309972993,1949
7858,813157409116065792,2234
8564,813142292504645637,2408
4509,813130366689148928,452
11962,813127251579564032,3166
10403,813112105746448384,2775
10677,813096984823349248,3664
9996,813081950185472002,2813
8036,813066809284972545,1978
21198,813051746834595840,7451
7651,812781120811126785,1925
6679,812709060537683968,1448
6143,812503143955202048,1235
8052,812466873996607488,1953
13798,812372279581671427,3700
7343,811985624773361665,1422
7632,811744202451197953,1619
5677,811647686436880384,751
12911,811627233043480576,3116
21158,811386762094317568,6464
5395,810984652412424192,1456
9119,810896069567610880,1794
11090,810657578271330305,2681
35667,810284430598270976,11437
14872,810254108431155201,3421
15726,809920764300447744,3992
0,809808892968534016,4952
7016,809448704142938112,1484
20153,809220051211603969,5672
13404,809084759137812480,3573
10235,808838249661788160,3079
7997,808733504066486276,2192
11448,808501579447930884,2637
43074,808344865868283904,21155
0,808134635716833280,6015
8900,808106460588765185,2235
12685,808001312164028416,3586
14768,807621403335917568,3673
119687,807106840509214720,56123
0,807059379405148160,7451
13245,807010152071229440,3918
75625,806629075125202948,35102
0,806620845233815552,5608
4955,806576416489959424,1974
10342,806542213899489280,2389
0,806242860592926720,11791
6518,806219024703037440,1213
0,805958939288408065,5442
8383,805932879469572096,1951
6652,805826884734976000,1854
0,805823200554876929,8135
5830,805520635690676224,1680
8904,805487436403003392,2556
7935,805207613751304193,1745
13875,804738756058218496,3863
6213,804475857670639616,2037
0,804413760345620481,3278
45050,804026241225523202,16376
10191,803773340896923648,2780
0,803692223237865472,7540
11081,803638050916102144,4201
7875,803380650405482500,1893
0,803321560782307329,5402
10161,803276597545603072,2491
9133,802952499103731712,2036
0,802624713319034886,2954
7200,802600418706604034,1489
9051,802572683846291456,2548
16424,802323869084381190,5914
6846,802265048156610565,1398
9196,802239329049477120,2662
0,802185808107208704,276
7859,801958328846974976,1741
1807,801854953262350336,240
8334,801538201127157760,2103
6137,801285448605831168,833
24781,801167903437357056,6015
0,801127390143516673,4004
8180,801115127852503040,2128
695,800859414831898624,98
0,800855607700029440,1634
10698,800751577355128832,2836
13284,800513324630806528,3033
9635,800459316964663297,2201
0,800443802682937345,4384
11291,800388270626521089,2851
0,800188575492947969,4005
15481,800141422401830912,2582
28750,800018252395122689,13353
0,799774291445383169,4758
8506,799757965289017345,2200
8173,799422933579902976,1955
0,799308762079035393,5548
10025,799297110730567681,2802
8176,799063482566066176,2501
13264,798933969379225600,4531
7602,798925684722855936,1462
0,798705661114773508,6740
0,798701998996647937,7904
0,798697898615730177,6620
0,798694562394996736,5036
0,798686750113755136,2369
0,798682547630837760,4791
0,798673117451325440,5626
0,798665375516884993,3969
0,798644042770751489,1881
0,798628517273620480,2007
0,798585098161549313,5784
0,798576900688019456,5932
0,798340744599797760,3390
10554,798209839306514432,2606
11743,797971864723324932,3155
14737,797545162159308800,4940
20221,797236660651966464,6674
227,797165961484890113,26
0,796904159865868288,9054
7796,796865951799083009,1950
11987,796759840936919040,3072
0,796563435802726400,7382
7673,796484825502875648,1782
11143,796387464403357696,4205
0,796177847564038144,14467
32654,796149749086875649,14467
5025,796125600683540480,1832
9216,796116448414461957,2451
8575,796080075804475393,2343
10942,796031486298386433,3763
50217,795464331001561088,23960
10198,795400264262053889,2917
16404,795076730285391872,5509
0,794983741416415232,3419
10363,794926597468000259,2334
0,794355576146903043,10446
9705,794332329137291264,2721
9345,794205286408003585,3371
17035,793962221541933056,4952
9345,793845145112371200,1896
0,793614319594401792,3179
8089,793601777308463104,1645
10798,793500921481273345,2408
24891,793286476301799424,9288
8810,793271401113350145,2426
20218,793256262322548741,8460
10642,793241302385262592,3347
9957,793226087023144960,2914
9040,793210959003287553,2837
15483,793195938047070209,5708
7028,793180763617361921,2030
9529,793165685325201412,2830
6260,793150605191548928,1723
6509,793135492858580992,2533
12820,793120401413079041,3976
14522,792913359805018113,4034
11450,792883833364439040,4331
7446,792773781206999040,1699
